parameter,genotype,bacteria,mean_auc,mean_auc_col0,diff_vs_col0,p_value_vs_col0,mean_auc_mock,diff_vs_mock,p_value_vs_mock
n_pixels_node,,417pvd,,26839.5,,,,,
n_pixels_node,,417r,,27638.9,,,,,
n_pixels_node,,mock,,19310.333333333332,,,,,
n_pixels_dilated_root_exclusive,DR5v2,417pvd,8378002.975,8066471.5,311531.4749999996,0.6779394494332078,9483161.815789474,-1105158.8407894745,0.07053923250094866
n_pixels_dilated_root_exclusive,DR5v2,417r,9210324.45,9427568.2,-217243.75,0.809318327388532,9483161.815789474,-272837.3657894749,0.6415848665132116
n_pixels_dilated_root_exclusive,DR5v2,mock,9483161.815789474,8848020.5,635141.3157894742,0.4195142719418474,9483161.815789474,0.0,
n_pixels_dilated_root_exclusive,Col-0,417pvd,8066471.5,8066471.5,0.0,,8848020.5,-781549.0,0.3876662656417518
n_pixels_dilated_root_exclusive,Col-0,417r,9427568.2,9427568.2,0.0,,8848020.5,579547.6999999993,0.5730840726339383
n_pixels_dilated_root_exclusive,Col-0,mock,8848020.5,8848020.5,0.0,,8848020.5,0.0,
n_pixels_dilated_root_exclusive,,417pvd,,8066471.5,,,,,
n_pixels_dilated_root_exclusive,,417r,,9427568.2,,,,,
n_pixels_dilated_root_exclusive,,mock,,8848020.5,,,,,
n_pixels_dilated_root,DR5v2,417pvd,8790729.575,8463764.5,326965.07499999925,0.6789361354768798,9950482.184210526,-1159752.6092105266,0.07142543350877288
n_pixels_dilated_root,DR5v2,417r,9656861.925,9895067.2,-238205.2749999985,0.8011790075140217,9950482.184210526,-293620.2592105251,0.6331779019614772
n_pixels_dilated_root,DR5v2,mock,9950482.184210526,9291118.916666666,659363.2675438598,0.4251882246337332,9950482.184210526,0.0,
n_pixels_dilated_root,Col-0,417pvd,8463764.5,8463764.5,0.0,,9291118.916666666,-827354.416666666,0.38478206767546586
n_pixels_dilated_root,Col-0,417r,9895067.2,9895067.2,0.0,,9291118.916666666,603948.2833333332,0.5763652632151184
n_pixels_dilated_root,Col-0,mock,9291118.916666666,9291118.916666666,0.0,,9291118.916666666,0.0,
n_pixels_dilated_root,,417pvd,,8463764.5,,,,,
n_pixels_dilated_root,,417r,,9895067.2,,,,,
n_pixels_dilated_root,,mock,,9291118.916666666,,,,,
n_pixels_shoot,DR5v2,417pvd,598816.35,549918.5,48897.84999999998,0.4038185950163354,555479.2368421053,43337.113157894695,0.19033285194556152
n_pixels_shoot,DR5v2,417r,572891.45,548086.1,24805.349999999977,0.6045726753339058,555479.2368421053,17412.213157894672,0.5445246726466391
n_pixels_shoot,DR5v2,mock,555479.2368421053,557069.75,-1590.5131578947185,0.9789031159416234,555479.2368421053,0.0,
n_pixels_shoot,Col-0,417pvd,549918.5,549918.5,0.0,,557069.75,-7151.25,0.9238929073409721
n_pixels_shoot,Col-0,417r,548086.1,548086.1,0.0,,557069.75,-8983.650000000023,0.8977227562501902
