parameter,genotype,bacteria,mean_auc,mean_auc_col0,diff_vs_col0,p_value_vs_col0,mean_auc_mock,diff_vs_mock,p_value_vs_mock
sum_fluorescence_dilated_root,,mock,,1171527386.9166667,,,,,
sum_fluorescence_shoot,DR5v2,417pvd,111038316.175,99441940.2,11596375.974999994,0.2775138900878634,71567978.21052632,39470337.96447368,2.3506859017348311e-07
sum_fluorescence_shoot,DR5v2,417r,104110156.325,98006528.1,6103628.225000009,0.5485736690055315,71567978.21052632,32542178.114473686,3.103856051992494e-07
sum_fluorescence_shoot,DR5v2,mock,71567978.21052632,72549866.75,-981888.5394736826,0.9035665418383625,71567978.21052632,0.0,
sum_fluorescence_shoot,Col-0,417pvd,99441940.2,99441940.2,0.0,,72549866.75,26892073.450000003,0.041364841445052515
sum_fluorescence_shoot,Col-0,417r,98006528.1,98006528.1,0.0,,72549866.75,25456661.349999994,0.05335306159973052
sum_fluorescence_shoot,Col-0,mock,72549866.75,72549866.75,0.0,,72549866.75,0.0,
sum_fluorescence_shoot,,417pvd,,99441940.2,,,,,
sum_fluorescence_shoot,,417r,,98006528.1,,,,,
sum_fluorescence_shoot,,mock,,72549866.75,,,,,
mean_fluorescence_unknown,DR5v2,417pvd,,,,,,,
mean_fluorescence_unknown,DR5v2,417r,,,,,,,
mean_fluorescence_unknown,DR5v2,mock,,,,,,,
mean_fluorescence_unknown,Col-0,417pvd,,,,,,,
mean_fluorescence_unknown,Col-0,417r,,,,,,,
mean_fluorescence_unknown,Col-0,mock,,,,,,,
mean_fluorescence_unknown,,417pvd,,,,,,,
mean_fluorescence_unknown,,417r,,,,,,,
mean_fluorescence_unknown,,mock,,,,,,,
n_pixels_unknown,DR5v2,417pvd,0.0,0.0,0.0,,0.0,0.0,
n_pixels_unknown,DR5v2,417r,0.0,0.0,0.0,,0.0,0.0,
n_pixels_unknown,DR5v2,mock,0.0,0.0,0.0,,0.0,0.0,
n_pixels_unknown,Col-0,417pvd,0.0,0.0,0.0,,0.0,0.0,
n_pixels_unknown,Col-0,417r,0.0,0.0,0.0,,0.0,0.0,
n_pixels_unknown,Col-0,mock,0.0,0.0,0.0,,0.0,0.0,
n_pixels_unknown,,417pvd,,0.0,,,,,
n_pixels_unknown,,417r,,0.0,,,,,
n_pixels_unknown,,mock,,0.0,,,,,
sum_fluorescence_unknown,DR5v2,417pvd,,,,,,,
sum_fluorescence_unknown,DR5v2,417r,,,,,,,
sum_fluorescence_unknown,DR5v2,mock,,,,,,,
sum_fluorescence_unknown,Col-0,417pvd,,,,,,,
sum_fluorescence_unknown,Col-0,417r,,,,,,,
sum_fluorescence_unknown,Col-0,mock,,,,,,,
sum_fluorescence_unknown,,417pvd,,,,,,,
sum_fluorescence_unknown,,417r,,,,,,,
sum_fluorescence_unknown,,mock,,,,,,,
